HOG	OG	gene_tree_parent_clade	consensus_gene_name	consensus_method	consensus_evidence	Vespula_vulgaris_member_count	Vespula_vulgaris_gene_ids	Vespula_vulgaris_gene_symbols	Vespula_vulgaris_gene_names	Vespula_vulgaris_annotation_sources	Vespula_vulgaris_annotated_member_count	Polistes_dominula_member_count	Polistes_dominula_gene_ids	Polistes_dominula_gene_symbols	Polistes_dominula_gene_names	Polistes_dominula_annotation_sources	Polistes_dominula_annotated_member_count	Ancistrocerus_nigricornis_member_count	Ancistrocerus_nigricornis_gene_ids	Ancistrocerus_nigricornis_gene_symbols	Ancistrocerus_nigricornis_gene_names	Ancistrocerus_nigricornis_annotation_sources	Ancistrocerus_nigricornis_annotated_member_count	chemosensory_family_flag	TE_related_HOG_flag	TE_filter_reason
N0.HOG0000002	OG0000000	n2871	transposable-element/reverse-transcriptase family	conservative keyword family rule	Putative peptidase (DUF1758); Pao retrotransposon peptidase	0					0	4	LOC107068641; LOC107074376; LOC107073766; LOC107073686	LOC107068641; LOC107074376; LOC107073766; LOC107073686	Putative peptidase (DUF1758); Pao retrotransposon peptidase	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	4	1	ENSANRG00005010474				0	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0000017	OG0000004	n246	transposable-element/reverse-transcriptase family	conservative keyword family rule	Zinc knuckle; Integrase core domain; retrotransposable element Tf2 155 kDa protein type 1-like	0					0	2	LOC107073515; LOC107072265	LOC107073515; LOC107072265	Zinc knuckle	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	2	17	ENSANRG00005003937; ENSANRG00005008880; ENSANRG00005008962; ENSANRG00005010839; ENSANRG00005010052; ENSANRG00005004679; ENSANRG00005009321; ENSANRG00005009000; ENSANRG00005008964; ENSANRG00005008601; ENSANRG00005005491; ENSANRG00005004650; ENSANRG00005010997; ENSANRG00005004189; ENSANRG00005005543; ENSANRG00005004603; ENSANRG00005001855	LOC107073349; LOC107073350	Integrase core domain; retrotransposable element Tf2 155 kDa protein type 1-like	OrthoFinder orthology transfer from: Polistes_dominula	2	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0000018	OG0000005	n0	transposable-element/reverse-transcriptase family	conservative keyword family rule	retrotransposable element Tf2 155 kDa protein type 1-like	0					0	14	LOC107070923; LOC107073775; LOC107073225; LOC107066476; LOC107070922; LOC107063849; LOC107073726; LOC107069469; LOC107070460; LOC107073435; LOC107073736; LOC107074252; LOC107073386; LOC107073791	LOC107070923; LOC107073775; LOC107073225; LOC107066476; LOC107070922; LOC107063849; LOC107073726; LOC107069469; LOC107070460; LOC107073435; LOC107073736; LOC107074252; LOC107073386; LOC107073791	retrotransposable element Tf2 155 kDa protein type 1-like	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	14	0					0	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0000032	OG0000011	n0	transposable-element/reverse-transcriptase family	conservative keyword family rule	piggyBac transposable element-derived protein 4-like; piggyBac transposable element-derived protein 2-like; piggyBac transposable element-derived protein 1-like	2	LOC127064798; LOC127061365	LOC127064798; LOC127061365	piggyBac transposable element-derived protein 4-like	NCBI: vv_genetable.csv	2	32	LOC107073788; LOC107071717; LOC107073514; LOC107073706; LOC107073551; LOC107073764; LOC107073790; LOC107073508; LOC107073444; LOC107063626; LOC107073562; LOC107073975; LOC107073476; LOC107073418; LOC107073487; LOC107068382; LOC107068755; LOC107071369; LOC107065790; LOC107073554; LOC107073753; LOC107067008; LOC107065788; LOC107065789; LOC107073506; LOC107071450; LOC107072411; LOC107066952; LOC107073178; LOC107073177; LOC107063654; LOC107072298	LOC107073788; LOC107071717; LOC107073514; LOC107073706; LOC107073551; LOC107073764; LOC107073790; LOC107073508; LOC107073444; LOC107063626; LOC107073562; LOC107073975; LOC107073476; LOC107073418; LOC107073487; LOC107068382; LOC107068755; LOC107071369; LOC107065790; LOC107073554; LOC107073753; LOC107067008; LOC107065788; LOC107065789; LOC107073506; LOC107071450; LOC107072411; LOC107066952; LOC107073178; LOC107073177; LOC107063654; LOC107072298	piggyBac transposable element-derived protein 4-like; piggyBac transposable element-derived protein 2-like; piggyBac transposable element-derived protein 1-like	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	32	1	ENSANRG00005010703	LOC107073514; LOC127064798	piggyBac transposable element-derived protein 4-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0000041	OG0000018	n0	transposable-element/reverse-transcriptase family	conservative keyword family rule	Endonuclease-reverse transcriptase	0					0	2	LOC107072267; LOC107073598	LOC107072267; LOC107073598	Endonuclease-reverse transcriptase	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	2	1	ENSANRG00005002021				0	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0000047	OG0000024	n1	transposable-element/reverse-transcriptase family	conservative keyword family rule	Reverse transcriptase (RNA-dependent DNA polymerase); RNA-directed DNA polymerase from mobile element jockey-like	0					0	4	LOC107073218; LOC107073300; LOC107073635; LOC107068640	LOC107073218; LOC107073300; LOC107073635; LOC107068640	Reverse transcriptase (RNA-dependent DNA polymerase); RNA-directed DNA polymerase from mobile element jockey-like	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback; NCBI: pd_genetable.csv	4	0					0	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0000053	OG0000029	n0	transposable-element/reverse-transcriptase family	conservative keyword family rule	retrotransposable element Tf2 155 kDa protein type 1-like; Reverse transcriptase (RNA-dependent DNA polymerase); Integrase core domain	0					0	11	LOC107073505; LOC107073219; LOC107073567; LOC107066660; LOC107073648; LOC107073592; LOC107071375; LOC107073544; LOC107073350; LOC107073349; LOC107073576	LOC107073505; LOC107073219; LOC107073567; LOC107066660; LOC107073648; LOC107073592; LOC107071375; LOC107073544; LOC107073350; LOC107073349; LOC107073576	retrotransposable element Tf2 155 kDa protein type 1-like; Reverse transcriptase (RNA-dependent DNA polymerase); Integrase core domain	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	11	0					0	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0000061	OG0000037	n0	transposable-element/reverse-transcriptase family	conservative keyword family rule	tigger transposable element-derived protein 1-like; Putative DNA-binding domain in centromere protein B, mouse jerky and transposases.; Tc5 transposase DNA-binding domain; jerky protein homolog-like	0					0	4	LOC107071931; LOC107071792; LOC107065344; LOC107072239	LOC107071931; LOC107071792; LOC107065344; LOC107072239	tigger transposable element-derived protein 1-like; Putative DNA-binding domain in centromere protein B, mouse jerky and transposases.; Tc5 transposase DNA-binding domain; jerky protein homolog-like	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	4	4	ENSANRG00005000840; ENSANRG00005010016; ENSANRG00005009118; ENSANRG00005002980				0	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0000118	OG0000069	n0	zinc-finger protein family	conservative keyword family rule	Reverse transcriptase (RNA-dependent DNA polymerase); zinc finger	0					0	2	LOC107071707; LOC107073758	LOC107071707; LOC107073758	Reverse transcriptase (RNA-dependent DNA polymerase); zinc finger	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	2	2	ENSANRG00005010837; ENSANRG00005010046	LOC107071707	Reverse transcriptase (RNA-dependent DNA polymerase)	OrthoFinder orthology transfer from: Polistes_dominula	1	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
N0.HOG0000129	OG0000079	n0	transposable-element/reverse-transcriptase family	conservative keyword family rule	Transposase protein	0					0	0					0	4	ENSANRG00005008370; ENSANRG00005001413; ENSANRG00005010487; ENSANRG00005009308	LOC127068055	Transposase protein	OrthoFinder orthology transfer from: Vespula_vulgaris	4	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name
