stage	gene	log2FC_raw	log2FC_shrunk	lfcSE_raw	pvalue	padj_global	gene_type	HOG	shared_de	species	category
L1	LOC107063633	2.4098355810981866	2.4098355810981866	0.7660965748337768	0.0016574489770568362	0.031218851921722163	PROTEIN_CODING	N13.HOG0004538	NA	Polistes dominula	DE in focal species only
L1	LOC107063648	0.8044040042196374	0.8044040042196374	0.24716574479284675	0.0011358716419336645	0.024208484158115624	PROTEIN_CODING	N13.HOG0006437	TRUE	Polistes dominula	DE in both species
L1	LOC107063674	-0.5617456431589742	-0.5617456431589742	0.13451883598218276	2.9672842666026214e-5	0.0018160167128461	PROTEIN_CODING	N13.HOG0005478	NA	Polistes dominula	DE in focal species only
L1	LOC107063748	0.6178292658117736	0.6178292658117736	0.14963063136713817	3.642979324120961e-5	0.0021018243755858996	PROTEIN_CODING	N13.HOG0009935	NA	Polistes dominula	DE in focal species only
L1	LOC107063750	1.2451612595465733	1.2451612595465733	0.2553515409162749	1.0811446744362664e-6	1.3531999888762285e-4	PROTEIN_CODING	N13.HOG0008141	NA	Polistes dominula	DE in focal species only
L1	LOC107063759	1.0172598347094222	1.0172598347094222	0.34753086540398437	0.003421317661123174	0.04970468597211539	PROTEIN_CODING	N13.HOG0008280	NA	Polistes dominula	DE in focal species only
L1	LOC107063765	0.6290539178862653	0.6290539178862653	0.12684949301284476	7.083603449392642e-7	9.752705229123791e-5	PROTEIN_CODING	N13.HOG0008414	NA	Polistes dominula	DE in focal species only
L1	LOC107063778	-1.4559025614254084	-1.4559025614254084	0.4137777590260143	4.338929614218228e-4	0.012462805896082733	PROTEIN_CODING	N13.HOG0001298	NA	Polistes dominula	DE in focal species only
L1	LOC107063786	-2.0128210498834607	-2.0128210498834607	0.6258351580143197	0.0012989302556709271	0.02638574521978622	ncRNA	NA	NA	Polistes dominula	Non-coding RNA
L1	LOC107063800	-1.0406234899894975	-1.0406234899894975	0.27348495291947367	1.417764494136892e-4	0.005637934338815488	PROTEIN_CODING	N13.HOG0012169	NA	Polistes dominula	DE in focal species only
L1	LOC107063811	0.7240761671599034	0.7240761671599034	0.1793028932859789	5.384343378989145e-5	0.002817503195850097	PROTEIN_CODING	N13.HOG0007815	NA	Polistes dominula	DE in focal species only
L1	LOC107063814	0.48281951142857304	0.48281951142857304	0.11982636426691573	5.593694909462868e-5	0.0028952628388528106	PROTEIN_CODING	N13.HOG0009346	NA	Polistes dominula	DE in focal species only
L1	LOC107063820	0.6244126921987762	0.6244126921987762	0.18967899978212324	9.949733424760674e-4	0.022031654183862485	PROTEIN_CODING	N13.HOG0004299	NA	Polistes dominula	DE in focal species only
L1	LOC107063847	0.5051333521616104	0.5051333521616104	0.1503766269142677	7.819069725993059e-4	0.018617920213052495	PROTEIN_CODING	N13.HOG0008326	NA	Polistes dominula	DE in focal species only
L1	LOC107063870	0.4550524813100678	0.4550524813100678	0.10330930425691749	1.0590204865440206e-5	8.347668354239357e-4	PROTEIN_CODING	N13.HOG0008272	NA	Polistes dominula	DE in focal species only
L1	LOC107063886	-1.56072217057757	-1.56072217057757	0.3859353984247639	5.254725634592339e-5	0.002773098649206158	PROTEIN_CODING	N13.HOG0011859	NA	Polistes dominula	DE in focal species only
L1	LOC107063892	0.9413237146003847	0.9413237146003847	0.26393175256252105	3.617226814447995e-4	0.010912840170049743	PROTEIN_CODING	N13.HOG0003562	NA	Polistes dominula	DE in focal species only
L1	LOC107063894	1.4687624850151941	1.4687624850151941	0.44335412041296934	9.235288774376941e-4	0.0209360245629454	PROTEIN_CODING	N13.HOG0011081	NA	Polistes dominula	DE in focal species only
L1	LOC107063904	-0.8817058539185777	-0.8817058539185777	0.250772627546768	4.3817142603241383e-4	0.012568217070029737	PROTEIN_CODING	N13.HOG0007421	NA	Polistes dominula	DE in focal species only
L1	LOC107063908	0.6300877915401253	0.6300877915401253	0.16023169760680975	8.411799387174694e-5	0.003889264498744741	PROTEIN_CODING	N13.HOG0006495	NA	Polistes dominula	DE in focal species only
L1	LOC107063924	1.8187026971460967	1.8187026971460967	0.47481888411507517	1.2798282381733028e-4	0.005254674507903589	ncRNA	NA	NA	Polistes dominula	Non-coding RNA
L1	LOC107063927	0.8072488122376761	0.8072488122376761	0.21482667053419996	1.714994141157358e-4	0.006478302503330203	PROTEIN_CODING	N13.HOG0006984	NA	Polistes dominula	DE in focal species only
L1	LOC107063932	0.44207134071250115	0.44207134071250115	0.11562793301748145	1.317186997268305e-4	0.005372458038364391	PROTEIN_CODING	N13.HOG0004934	NA	Polistes dominula	DE in focal species only
L1	LOC107063939	0.4986244874710289	0.4986244874710289	0.13854203198483725	3.193393539519861e-4	0.010017715956176836	PROTEIN_CODING	N13.HOG0009715	NA	Polistes dominula	DE in focal species only
L1	LOC107063956	0.7769985839209196	0.7769985839209196	0.16676542993748794	3.173935786681266e-6	3.189461275213274e-4	PROTEIN_CODING	N13.HOG0010526	NA	Polistes dominula	DE in focal species only
L1	LOC107063977	-2.050611867252338	-2.050611867252338	0.6964935986248515	0.0032379757472292712	0.04803927811191014	PROTEIN_CODING	N13.HOG0003431	NA	Polistes dominula	DE in focal species only
L1	LOC107064001	0.578439275886246	0.578439275886246	0.13810158708662398	2.8079733811903562e-5	0.001742461489758925	PROTEIN_CODING	N13.HOG0006525	NA	Polistes dominula	DE in focal species only
L1	LOC107064009	0.46383043469997365	0.46383043469997365	0.15182206533044026	0.002249912099262175	0.0378138472169655	PROTEIN_CODING	N13.HOG0006507	NA	Polistes dominula	DE in focal species only
L1	LOC107064030	-1.8278258121504927	-1.8278258121504927	0.44368848285478224	3.795056709862956e-5	0.0021674584616847552	PROTEIN_CODING	N13.HOG0010951	NA	Polistes dominula	DE in focal species only
